full_name;osm_name;tag;memory;st_wiki;hero_wiki
бульвар Генерала Карбышева;бульвар Генерала Карбышева;полководец;Карбышев Дмитрий Михайлович;https://ru.wikipedia.org/wiki/Бульвар_Генерала_Карбышева;https://ru.wikipedia.org/wiki/Карбышев,_Дмитрий_Михайлович
бульвар Маршала Рокоссовского;бульвар Маршала Рокоссовского;полководец;Рокоссовский Константин Константинович;https://ru.wikipedia.org/wiki/Бульвар_Маршала_Рокоссовского;https://ru.wikipedia.org/wiki/Рокоссовский,_Константин_Константинович
площадь Генерала Жадова;площадь Генерала Жадова;;Жадов Алексей Семёнович;https://ru.wikipedia.org/wiki/Площадь_Генерала_Жадова;https://ru.wikipedia.org/wiki/Жадов,_Алексей_Семёнович
площадь Маршала Бабаджаняна;площадь Маршала Бабаджаняна;полководец;Бабаджанян Амазасп Хачатурович;https://ru.wikipedia.org/wiki/Площадь_Маршала_Бабаджаняна;https://ru.wikipedia.org/wiki/Бабаджанян,_Амазасп_Хачатурович
площадь Соловецких Юнг;площадь Соловецких Юнг;;Юнги Северного флота;https://ru.wikipedia.org/wiki/Площадь_Соловецких_Юнг;https://ru.wikipedia.org/wiki/Юнга_Северного_флота
проезд Серебрякова;проезд Серебрякова;танкист;Серебряков Андрей Михайлович;https://ru.wikipedia.org/wiki/Проезд_Серебрякова;https://ru.wikipedia.org/wiki/Серебряков,_Андрей_Михайлович
проспект Будённого;проспект Будённого;полководец;Будённый Семён Михайлович;https://ru.wikipedia.org/wiki/Проспект_Будённого_(Москва);https://ru.wikipedia.org/wiki/Будённый,_Семён_Михайлович
проспект Генерала Алексеева;проспект Генерала Алексеева;;Алексеев Дмитрий Фёдорович;https://ru.wikipedia.org/wiki/Проспект_Генерала_Алексеева;https://ru.wikipedia.org/wiki/Алексеев,_Дмитрий_Фёдорович
проспект Маршала Жукова;проспект Маршала Жукова;полководец;Жуков Георгий Константинович;https://ru.wikipedia.org/wiki/Проспект_Маршала_Жукова_(Москва);https://ru.wikipedia.org/wiki/Жуков,_Георгий_Константинович
улица Александра Лукьянова;улица Александра Лукьянова;лётчик;Лукьянов Александр Михайлович;https://ru.wikipedia.org/wiki/Улица_Александра_Лукьянова;https://ru.wikipedia.org/wiki/Лукьянов,_Александр_Михайлович
улица Алексея Маресьева;улица Маресьева;лётчик;Маресьев Алексей Петрович;;https://ru.wikipedia.org/wiki/Маресьев,_Алексей_Петрович
улица Алии Молдагуловой;улица Молдагуловой;;Молдагулова Алия Нурмухамбетовна;;https://ru.wikipedia.org/wiki/Молдагулова,_Алия_Нурмухамбетовна
улица Артамонова;улица Артамонова;лётчик;Артамонов Алексей Алексеевич;https://ru.wikipedia.org/wiki/Улица_Артамонова_(Москва);https://ru.wikipedia.org/wiki/Артамонов,_Алексей_Алексеевич
улица Берзарина;улица Берзарина;полководец;Берзарин Николай Эрастович;https://ru.wikipedia.org/wiki/Улица_Берзарина_(Москва);https://ru.wikipedia.org/wiki/Берзарин,_Николай_Эрастович
улица Бориса Галушкина;улица Бориса Галушкина;партизан;Галушкин Борис Лаврентьевич;https://ru.wikipedia.org/wiki/Улица_Бориса_Галушкина;https://ru.wikipedia.org/wiki/Галушкин,_Борис_Лаврентьевич
улица Бориса Жигуленкова;улица Бориса Жигулёнкова;;Жигулёнков Борис Васильевич;https://ru.wikipedia.org/wiki/Улица_Бориса_Жигулёнкова;https://ru.wikipedia.org/wiki/Жигулёнков,_Борис_Васильевич
улица Ватутина;улица Ватутина;полководец;Ватутин Николай Фёдорович;https://ru.wikipedia.org/wiki/Улица_Ватутина_(Москва);https://ru.wikipedia.org/wiki/Ватутин,_Николай_Фёдорович
улица Вострухина;улица Вострухина;лётчик;Вострухин Пётр Михайлович;https://ru.wikipedia.org/wiki/Улица_Вострухина;https://ru.wikipedia.org/wiki/Вострухин,_Пётр_Михайлович
улица Гастелло;улица Гастелло;лётчик;Гастелло Николай Францевич;https://ru.wikipedia.org/wiki/Улица_Гастелло_(Москва);https://ru.wikipedia.org/wiki/Гастелло,_Николай_Францевич
улица Генерала Антонова;улица Генерала Антонова;;Антонов Алексей Иннокентьевич;https://ru.wikipedia.org/wiki/Улица_Генерала_Антонова;https://ru.wikipedia.org/wiki/Антонов,_Алексей_Иннокентьевич
улица Генерала Белобородова;улица Генерала Белобородова;;Белобородов Афанасий Павлантьевич;https://ru.wikipedia.org/wiki/Улица_Генерала_Белобородова;https://ru.wikipedia.org/wiki/Белобородов,_Афанасий_Павлантьевич
улица Генерала Белова;улица Генерала Белова;;Белов Павел Алексеевич;https://ru.wikipedia.org/wiki/Улица_Генерала_Белова;https://ru.wikipedia.org/wiki/Белов,_Павел_Алексеевич
улица Генерала Глаголева;улица Генерала Глаголева;полководец;Глаголев Василий Васильевич;https://ru.wikipedia.org/wiki/Улица_Генерала_Глаголева;https://ru.wikipedia.org/wiki/Глаголев,_Василий_Васильевич
улица Генерала Кузнецова;улица Генерала Кузнецова;;Кузнецов Василий Иванович;https://ru.wikipedia.org/wiki/Улица_Генерала_Кузнецова;https://ru.wikipedia.org/wiki/Кузнецов,_Василий_Иванович
улица Генерала Тюленева;улица Генерала Тюленева;;Тюленев Иван Владимирович;https://ru.wikipedia.org/wiki/Улица_Генерала_Тюленева;https://ru.wikipedia.org/wiki/Тюленев,_Иван_Владимирович
